hotel_code,Hotels,Location,star,No of rooms,Single Half Board Rate,Double Half Board Rate,Triple Half Board Rate,Single Full Board Rate,Double Full Board Rate,Triple Full Board Rate,Single BB Rate,Double BB Rate,Triple BB Board Rate,Remarks,Category_Location,Market,Guide Accomadation,Website
0040,MIRAGE KING'S COTTAGE,NUWARA ELIYA,4,,65,95,100,75,105,110,55,85,90,Call Shafraz and Clarify,SPECIAL RATES,Indian,,
0040,MIRAGE KING'S COTTAGE,NUWARA ELIYA,4,,65,95,120,75,105,130,55,85,110,,NUWARA ELIYA ,Indian,,
0041,MOI ELLA,ELLA,4,,70,75,90,80,85,100,60,65,80,,ELLA,Indian,,Moi Ella (moihotels.com)
0042,MOONPLAINS APRTMENTS ,NUWARA ELIYA,3,,75,80,90,85,90,100,65,70,80,,NUWARA ELIYA ,Indian,,
0043,MOUNT LAVANIA HOTEL,MOUNT LAVINIA ,4,,80,90,125,90,100,135,70,80,115,,SPECIAL RATES,Indian,,
0043,MOUNT LAVANIA HOTEL,MOUNT LAVINIA ,4,,70,70,95,80,80,105,60,60,85,BB RATES,SPECIAL RATES,Indian,,
0044,NEEM VILLAS ,THISSAMAHARAMA,3,,50,55,65,60,65,75,40,45,55,,YALA,Indian,,"Neem Villas Reviews, Deals & Photos 2024 - Expedia"
0045,OAK RAY REGENCY,KANDY,3,,59,65,89,69,75,99,49,55,79,Valid till Oct 24 / Rates are included with VAT,SPECIAL RATES,Indian,,
0046,OAK RAY SUMMER HILL BREEZE,NUWARA ELIYA,3,,55,65,80,65,75,90,45,55,70,,NUWARA ELIYA ,Indian,,
0047,OAK RAY TEA BUSH RAMBODA,RAMBODA/NUWARA ELIYA,3,,55,60,80,65,70,90,45,50,70,,NUWARA ELIYA ,Indian,,
0048,OCCIDENTAL EDEN,BERUWALA,5,,70,70,110,80,80,120,60,60,100,Superior Land side rooms category/Valid- Oct 24,SPECIAL RATES,Indian,,
0048,OCCIDENTAL EDEN,BERUWALA,5,,75,75,115,85,85,125,65,65,105,Superior Ocean side rooms category/Valid- Oct 24,SPECIAL RATES,Indian,,
0049,OCEAN EDGE,COLOMBO,3,,55,60,70,65,70,80,45,50,60,Valid till Oct 24,SPECIAL RATES,Indian,,
0050,OKRIN,KATHARAGAMA,3,,55,60,75,65,70,85,45,50,65,,YALA,Indian,,Lavendish Leisure - Lavendish Okrin-Kataragama
0051,PEGION ISLAND RESORT AND SPA,NILAVELI,3,,65,70,75,75,80,85,55,60,65,,TRINCOMALEE,Indian,,Pigeon Island Beach Resort | Home (pigeonislandresort.com)
0052,PINTHALIYA RESOR AND SPA,HABARANA,4,35,55,70,80,65,80,90,45,60,70,,DAMBULLA,Indian,,https://acmegrandhotel.com/
0053,QUEENSBURY,NUWARA ELIYA,3,,50,55,75,60,65,85,40,45,65,,NUWARA ELIYA ,Indian,,
0054,RAWAN FACE HOTEL,ELLA,3,,70,75,80,80,85,90,60,65,70,,ELLA,Indian,,Rawanface – Hotel
0055,RIVENDELL,KANDY,3,,47,53,77,57,63,87,37,43,67,Valid till Oct 24 / Rates are included with VAT,SPECIAL RATES,Indian,,
0055,RIVENDELL,KANDY,3,,45,50,45,55,60,55,35,40,35,Without Vat/ Valid till Oct,KANDY,Indian,,
0056,RIVINKA ,KATHARAGAMA,3,,50,55,70,60,65,80,40,45,60,,YALA,Indian,,"HOTEL RIVINKA - Specialty Hotel Reviews (Kataragama, Sri Lanka) (tripadvisor.com)"
0057,ROYAL CLASSIC ,KANDY,4,,59,65,89,69,75,99,49,55,79,Valid till Oct 24 / Rates are included with VAT,SPECIAL RATES,Indian,,
0058,ROYAL KANDYAN,KANDY,4,,50,55,75,60,65,85,40,45,65,Valit till Oct 24,SPECIAL RATES,Indian,,
0059,SANDRIANA LAKE VIEW,KANDY,3,,47,53,77,57,63,87,37,43,67,Valid till Oct 24 / Rates are included with VAT,SPECIAL RATES,Indian,,
0060,SAUNTER PARADISE,HABARANA,3,25,60,65,70,70,75,80,50,55,60,,DAMBULLA,Indian,,Pinthaliya Resort | Hotels in Sigiriya | Hotels in Habarana | Official Site
0061,SENORA ,KATHARAGAMA,3,,55,70,80,65,80,90,45,60,70,,YALA,Indian,,booking.com/hotel/lk/senora.html
0062,SHERATON KOSGODA,KOSGODA,5,,120,120,150,130,130,160,110,110,140,Tactical Offer,SPECIAL RATES,Indian,,
0063,SIGIRI HERITAGE VILLA,SIGIRIYA,3,12,45,50,70,55,60,80,35,40,60,,DAMBULLA,Indian,,Sigiriya Kingdom Gate Hotel - Dambulla
0064,SIGIRIYA FOREST EDGE (MARINO),DAMBULLA,4,15,75,80,90,85,90,100,65,70,80,,DAMBULLA,Indian,,SAUNTER PARADISE HOTEL - Kimbissa Hotel Reviews (tripadvisor.com)
0065,SIGIRIYA KINGDOM RESORT,SIGIRIYA,3,20,55,70,90,65,80,100,45,60,80,,DAMBULLA,Indian,,"Sigiriya Forest Edge by Marino Leisure,Dambulla - Updated 2024 Reviews & Prices | Trip.com"
0066,SIGIRIYANA BY THILANKA,DAMBULLA,4,,55,60,90,65,70,100,45,50,80,Valid till Oct,SPECIAL RATES,Indian,,
0067,STAMFORD STAR,NUWARA ELIYA,3,,50,55,90,60,65,100,40,45,80,,NUWARA ELIYA ,Indian,,
0068,SWISS RESIDENCE,KANDY,4,,55,60,90,65,70,100,45,50,80,Valid till Oct 24,SPECIAL RATES,Indian,,
0069,TAJ BENTOTA,BENTOTA,5,,150,150,185,160,160,195,140,140,175,Free upgrade to HB - Valid till 31st October,SPECIAL RATES,Indian,,
0070,TANGERINE BEACH,BENTOTA/KALUTARA,4,,65,60,85,75,70,95,55,50,75,Valid- Till Oct 24,DOWN SOUTH,Indian,,
0071,TEMPLE TREE,INDURUWA,4,,55,60,90,65,70,100,45,50,80,Valid-SEP to OCT 24,SPECIAL RATES,Indian,,
0072,THE BLACKPOOL RESORT & SPA,NUWARA ELIYA,4,,70,90,100,80,100,110,60,80,90,,SPECIAL RATES,Indian,,
0073,THE GOLDEN RIDGE,NUWARA ELIYA,5,,140,150,180,150,160,190,130,140,170,,NUWARA ELIYA ,Indian,,
0074,THE GRAND HOTEL,NUWARA ELIYA,4,,70,260,300,80,270,310,60,250,290,,NUWARA ELIYA ,Indian,,
0075,THE OTHER CORNER ,HABARANA,3,,65,80,110,75,90,120,55,70,100,Valid till 15th Novemebr / ,SPECIAL RATES,Indian,,
0076,THE PALMS,BENTOTA,4,,70,80,115,80,90,125,60,70,105,Valid- Till Oct 25,DOWN SOUTH,Indian,,
0077,THILANKA,KANDY,4,,55,60,90,65,70,100,45,50,80,Valid ,SPECIAL RATES,Indian,,
0078,TREE OF LIFE,KANDY,3,,50,55,70,60,65,80,40,45,60,,KANDY,Indian,,
0079,TRINCOMALEE BEACH RESORT,TRINCOMALEE,3,,60,65,70,70,75,80,50,55,60,,TRINCOMALEE,Indian,,Home • Trincomalee Beach Resorts & Spa (Trincomaleebeachresortandspa.com)
0080,TUURYA KALUTARA,KALUTARA,5,,70,70,100,80,80,110,60,60,90,Valid - AUG to Oct 25,SPECIAL RATES,Indian,,
0081,VALAMPURI HOTEL,JAFFNA,3,,65,70,80,75,80,90,55,60,70,,JAFFNA,Indian,,Booking.com: Hotels in Jaffna. Book your hotel now!
0082,VICTORIA GOLF CLUB,KANDY,4,,50,55,75,60,65,85,40,45,65,FIT Rate,SPECIAL RATES,Indian,,
0082,VICTORIA GOLF CLUB,KANDY,4,,45,50,70,55,60,80,35,40,60,GIT Rate,SPECIAL RATES,Indian,,
0083,WELIGAMA BAY MARRIOT,WELIGAMA,5,,54,145,215,64,155,225,44,135,205,Valid- SEP 24 only,SPECIAL RATES,Indian,,
0084,WINDSOR HOTEL,NUWARA ELIYA,3,,45,50,90,55,60,100,35,40,80,,NUWARA ELIYA ,Indian,,
0085,WUNDABAR,BENTOTA,3,,50,55,90,60,65,100,40,45,80,,DOWN SOUTH,Indian,,
