hotel_code,Hotels ,Location,star,No of rooms,Single Half Board Rate,Double Half Board Rate,Triple Half Board Rate,Single Full Board Rate,Double Full Board Rate,Triple Full Board Rate,Single BB Rate,Double BB Rate,Triple BB Board Rate,Remarks,Category_Location,Market,Guide Accomadation,Website
19,ELEPHANT REACH,KIRINDA,4,,65,70,90,75,80,100,55,60,80,,YALA,Indian,,Luxury Wildlife Hotel in Yala Sri Lanka | elephantreach.com
23,GRAND DETAGAMUWA ,KATHARAGAMA,3,,55,60,70,65,70,80,45,50,60,,YALA,Indian,,"*** HOTEL GRAND DETAGAMUWA, KATARAGAMA *** (srilankahotel.net)"
25,GRAND TAMARIND LAKE,KATHARAGAMA,4,,70,75,80,80,85,90,60,65,70,,YALA,Indian,,Lavendish Leisure - Grand Tamarind Lake-Kataragama
39,MANDARA ROSEN,KATHARAGAMA,4,,70,75,80,80,85,90,60,65,70,,YALA,Indian,,Kataragama Hotels | Mandara Rosen Kataragama Official Site (mandarahotels.com)
50,OKRIN,KATHARAGAMA,3,,55,60,75,65,70,85,45,50,65,,YALA,Indian,,Lavendish Leisure - Lavendish Okrin-Kataragama
56,RIVINKA ,KATHARAGAMA,3,,50,55,70,60,65,80,40,45,60,,YALA,Indian,,"HOTEL RIVINKA - Specialty Hotel Reviews (Kataragama, Sri Lanka) (tripadvisor.com)"
61,SENORA ,KATHARAGAMA,3,,55,70,80,65,80,90,45,60,70,,YALA,Indian,,booking.com/hotel/lk/senora.html
9,CINNAMON CITADEL,KANDY,4,,90,95,135,100,105,145,80,85,125,Valid till Ooc 24,SPECIAL RATES,Indian,,
15,DEVON,KANDY,3,,47,53,77,57,63,87,37,43,67,Valid till Oct 24 / Rates are included with VAT,SPECIAL RATES,Indian,,
15,DEVON,KANDY,3,,35,40,50,45,50,60,25,30,40,Without Vat/ Valid till Oct,KANDY,Indian,,
16,EARLS REGENCY,KANDY,5,,77,90,126,87,100,136,67,80,116,Valid from Sep to Oct 24,SPECIAL RATES,Indian,,
17,EARLS REGENT,KANDY,5,,60,65,85,70,75,95,50,55,75,Valid till Oct 24,SPECIAL RATES,Indian,,
17,EARLS REGENT,KANDY,4,,60,65,85,70,75,95,50,55,75,Valid till Oct,KANDY,Indian,,
45,OAK RAY REGENCY,KANDY,3,,59,65,89,69,75,99,49,55,79,Valid till Oct 24 / Rates are included with VAT,SPECIAL RATES,Indian,,
55,RIVENDELL,KANDY,3,,47,53,77,57,63,87,37,43,67,Valid till Oct 24 / Rates are included with VAT,SPECIAL RATES,Indian,,
55,RIVENDELL,KANDY,3,,45,50,45,55,60,55,35,40,35,Without Vat/ Valid till Oct,KANDY,Indian,,
