tour_code,tour_title,nights,days,day,location,activity,Typical visit time
4N5DHDKSNE,04 Nights_05 Days_Habarana DAMBULLA KANDY SIGIRIYA NUWARA ELIYA,4,5,4,NUWARA ELIYA,Sita Amman Temple,Evening
5N6DKNEBC,05 Nights_06 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,5,6,2,NUWARA ELIYA,KANDY Temple ,Morning
5N6DKNEBC,05 Nights_06 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,5,6,2,NUWARA ELIYA,Peradeniya Botanical Gardens,Morning
5N6DKNEBC,05 Nights_06 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,5,6,2,NUWARA ELIYA,Gem Museum,Morning
5N6DKNEBC,05 Nights_06 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,5,6,2,NUWARA ELIYA,Hanuman ji Temple,Evening
5N6DKNEBC,05 Nights_06 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,5,6,2,NUWARA ELIYA,Tea Factory and Tea Plantation,Evening
5N6DPKNEYB,05 Nights_06 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,3,NUWARA ELIYA,Hanuman ji Temple,Morning
5N6DPKNEYB,05 Nights_06 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,3,NUWARA ELIYA,Tea Factory and Tea Plantation,Morning
5N6DPKNEYB,05 Nights_06 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,3,NUWARA ELIYA,Sita Amman Temple,Evening
5N6DPKNEYB,05 Nights_06 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,4,NUWARA ELIYA,St Clair’s waterfall,Morning
6N7DPKNEYBC,06 Nights_07 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,6,7,3,NUWARA ELIYA,Hanuman ji Temple,Morning
6N7DPKNEYBC,06 Nights_07 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,6,7,3,NUWARA ELIYA,Tea Factory and Tea Plantation,Morning
6N7DPKNEYBC,06 Nights_07 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,6,7,3,NUWARA ELIYA,Sita Amman Temple,Evening
6N7DPKNEYBC,06 Nights_07 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,6,7,3,NUWARA ELIYA,Gregory Lake,Evening
7N8DKPNEBC,07 Nights_08 Days_KANDY PINNAWELA NUWARA ELIYABENTOTACOLOMBO,7,8,3,NUWARA ELIYA,Hanuman ji Temple,Morning
7N8DKPNEBC,07 Nights_08 Days_KANDY PINNAWELA NUWARA ELIYABENTOTACOLOMBO,7,8,3,NUWARA ELIYA,Tea Factory and Tea Plantation,Evening
7N8DKPNEBC,07 Nights_08 Days_KANDY PINNAWELA NUWARA ELIYABENTOTACOLOMBO,7,8,4,NUWARA ELIYA,Haggala garden,Morning
7N8DKPNEBC,07 Nights_08 Days_KANDY PINNAWELA NUWARA ELIYABENTOTACOLOMBO,7,8,4,NUWARA ELIYA,Sita Amman Temple,Evening
6N7DKNEBC,06 Nights_07 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,6,7,3,NUWARA ELIYA,Hanuman ji Temple,Morning
6N7DKNEBC,06 Nights_07 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,6,7,3,NUWARA ELIYA,Tea Factory and Tea Plantation,Evening
6N7DKNEBC,06 Nights_07 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,6,7,4,NUWARA ELIYA,Sita Amman Temple,Morning
