tour_code,tour_title,nights,days,day,location,activity,Typical visit time
12N13DHPKNEBC,12 Nights_13 Days_Habarana Pinnwela KANDY NUWARA ELIYABENTOTACOLOMBO,12,13,8,BENTOTA,Madu Boat Safari ,Evening
12N13DHPKNEBC,12 Nights_13 Days_Habarana Pinnwela KANDY NUWARA ELIYABENTOTACOLOMBO,12,13,9,BENTOTA,Water Sports Activity,Morning
4N5DKNEBC,04 Nights_05 Days_KANDY Nuwaraeliya BENTOTACOLOMBO City Tour,4,5,5,COLOMBO,COLOMBO city tour & Shopping ,Morning
4N5DKNEBC,04 Nights_05 Days_KANDY Nuwaraeliya BENTOTACOLOMBO City Tour,4,5,5,COLOMBO,Departure Airport Drop,Evening
4N5DHYGC,04 Night_05 Days_HAMBANTOTA YALA GALLE COLOMBO,4,5,4,COLOMBO,COLOMBO city tour & Shopping ,Morning
4N5DHYGC,04 Night_05 Days_HAMBANTOTA YALA GALLE COLOMBO,4,5,5,COLOMBO,Departure Airport Drop,Morning
4N5DKPNEC,04 Nights_05 Days_KANDYPINNAWELA NUWARA ELIYACOLOMBO,4,5,4,COLOMBO,COLOMBO city tour & Shopping ,Morning
4N5DKPNEC,04 Nights_05 Days_KANDYPINNAWELA NUWARA ELIYACOLOMBO,4,5,5,COLOMBO,Departure Airport Drop,Morning
4N5DHDKSNE,04 Nights_05 Days_Habarana DAMBULLA KANDY SIGIRIYA NUWARA ELIYA,4,5,5,COLOMBO,Departure Airport Drop,Morning
5N6DKNEBC,05 Nights_06 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,5,6,5,COLOMBO,COLOMBO city tour & Shopping ,Morning
5N6DKNEBC,05 Nights_06 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,5,6,6,COLOMBO,Departure Airport Drop,Morning
5N6DPKNEYB,05 Nights_06 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,6,COLOMBO,Departure Airport Drop,Morning
6N7DPKNEYBC,06 Nights_07 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,6,7,6,COLOMBO,COLOMBO city tour & Shopping ,Morning
6N7DPKNEYBC,06 Nights_07 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,6,7,7,COLOMBO,Departure Airport Drop,Morning
7N8DKPNEBC,07 Nights_08 Days_KANDY PINNAWELA NUWARA ELIYABENTOTACOLOMBO,7,8,7,COLOMBO,COLOMBO city tour & Shopping ,Morning
7N8DKPNEBC,07 Nights_08 Days_KANDY PINNAWELA NUWARA ELIYABENTOTACOLOMBO,7,8,8,COLOMBO,Departure Airport Drop,Morning
6N7DKNEBC,06 Nights_07 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,6,7,6,COLOMBO,COLOMBO city tour & Shopping ,Morning
6N7DKNEBC,06 Nights_07 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,6,7,7,COLOMBO,Departure Airport Drop,Morning
